ID player;Match;Elo;
0;0;41;
1;0;455;
2;0;330;
3;0;983;
4;0;1157;
5;0;714;
6;0;971;
7;0;839;
8;0;1445;
9;0;448;
10;0;1202;
11;0;1127;
12;0;766;
13;0;316;
14;0;955;
15;0;491;
16;0;1494;
17;0;1435;
18;0;324;
19;0;933;
20;0;870;
21;0;1095;
22;0;900;
23;0;153;
24;0;292;
25;0;374;
26;0;910;
27;0;704;
28;0;205;
29;0;382;
30;0;944;
31;0;712;
32;0;1262;
33;0;1031;
34;0;368;
35;0;399;
36;0;150;
37;0;782;
38;0;524;
39;0;888;
40;0;184;
41;0;1296;
42;0;1302;
43;0;313;
44;0;1162;
45;0;161;
46;0;131;
47;0;206;
48;0;1235;
49;0;864;
50;0;30;
51;0;626;
52;0;1141;
53;0;1236;
54;0;524;
55;0;851;
56;0;1218;
57;0;735;
58;0;511;
59;0;778;
60;0;308;
61;0;33;
62;0;1176;
63;0;341;
64;0;288;
65;0;86;
66;0;34;
67;0;1437;
68;0;1252;
69;0;133;
70;0;428;
71;0;1290;
72;0;880;
73;0;725;
74;0;354;
75;0;340;
76;0;1497;
77;0;1081;
78;0;377;
79;0;546;
80;0;116;
81;0;615;
82;0;68;
83;0;441;
84;0;744;
85;0;1333;
86;0;463;
87;0;1372;
88;0;422;
89;0;791;
90;0;433;
91;0;918;
92;0;610;
93;0;816;
94;0;1034;
95;0;524;
96;0;1108;
97;0;581;
98;0;414;
99;0;30;
0;1;41;
1;1;446;
2;1;340;
3;1;991;
4;1;1165;
5;1;724;
6;1;979;
7;1;831;
8;1;1445;
9;1;439;
10;1;1210;
11;1;1135;
12;1;776;
13;1;326;
14;1;963;
15;1;482;
16;1;1494;
17;1;1435;
18;1;334;
19;1;941;
20;1;862;
21;1;1087;
22;1;908;
23;1;153;
24;1;302;
25;1;384;
26;1;902;
27;1;714;
28;1;205;
29;1;372;
30;1;944;
31;1;722;
32;1;1262;
33;1;1023;
34;1;358;
35;1;390;
36;1;150;
37;1;792;
38;1;533;
39;1;880;
40;1;184;
41;1;1296;
42;1;1302;
43;1;303;
44;1;1170;
45;1;161;
46;1;131;
47;1;206;
48;1;1235;
49;1;856;
50;1;30;
51;1;626;
52;1;1149;
53;1;1236;
54;1;533;
55;1;851;
56;1;1218;
57;1;725;
58;1;520;
59;1;768;
60;1;298;
61;1;33;
62;1;1176;
63;1;331;
64;1;288;
65;1;86;
66;1;34;
67;1;1437;
68;1;1252;
69;1;133;
70;1;419;
71;1;1290;
72;1;880;
73;1;725;
74;1;354;
75;1;340;
76;1;1497;
77;1;1073;
78;1;377;
79;1;555;
80;1;116;
81;1;615;
82;1;68;
83;1;441;
84;1;734;
85;1;1333;
86;1;472;
87;1;1372;
88;1;422;
89;1;781;
90;1;433;
91;1;918;
92;1;610;
93;1;806;
94;1;1026;
95;1;524;
96;1;1100;
97;1;581;
98;1;414;
99;1;30;
0;2;41;
1;2;435;
2;2;351;
3;2;999;
4;2;1157;
5;2;734;
6;2;987;
7;2;823;
8;2;1445;
9;2;428;
10;2;1202;
11;2;1127;
12;2;786;
13;2;337;
14;2;971;
15;2;471;
16;2;1494;
17;2;1435;
18;2;345;
19;2;949;
20;2;854;
21;2;1087;
22;2;916;
23;2;153;
24;2;313;
25;2;373;
26;2;894;
27;2;724;
28;2;205;
29;2;383;
30;2;944;
31;2;732;
32;2;1270;
33;2;1023;
34;2;368;
35;2;379;
36;2;150;
37;2;802;
38;2;533;
39;2;872;
40;2;184;
41;2;1304;
42;2;1310;
43;2;313;
44;2;1162;
45;2;161;
46;2;131;
47;2;206;
48;2;1227;
49;2;848;
50;2;30;
51;2;626;
52;2;1149;
53;2;1244;
54;2;533;
55;2;851;
56;2;1226;
57;2;715;
58;2;520;
59;2;758;
60;2;308;
61;2;33;
62;2;1176;
63;2;341;
64;2;298;
65;2;86;
66;2;34;
67;2;1437;
68;2;1252;
69;2;133;
70;2;409;
71;2;1290;
72;2;880;
73;2;715;
74;2;344;
75;2;330;
76;2;1497;
77;2;1073;
78;2;367;
79;2;555;
80;2;116;
81;2;615;
82;2;68;
83;2;441;
84;2;724;
85;2;1333;
86;2;472;
87;2;1372;
88;2;422;
89;2;771;
90;2;433;
91;2;918;
92;2;610;
93;2;806;
94;2;1026;
95;2;524;
96;2;1100;
97;2;581;
98;2;404;
99;2;30;
0;3;41;
1;3;444;
2;3;360;
3;3;1007;
4;3;1149;
5;3;744;
6;3;995;
7;3;833;
8;3;1445;
9;3;437;
10;3;1194;
11;3;1119;
12;3;796;
13;3;346;
14;3;979;
15;3;481;
16;3;1494;
17;3;1435;
18;3;354;
19;3;957;
20;3;846;
21;3;1087;
22;3;924;
23;3;153;
24;3;304;
25;3;383;
26;3;886;
27;3;734;
28;3;205;
29;3;393;
30;3;936;
31;3;742;
32;3;1278;
33;3;1023;
34;3;359;
35;3;389;
36;3;150;
37;3;792;
38;3;533;
39;3;864;
40;3;184;
41;3;1312;
42;3;1318;
43;3;304;
44;3;1154;
45;3;161;
46;3;131;
47;3;206;
48;3;1219;
49;3;840;
50;3;30;
51;3;626;
52;3;1149;
53;3;1252;
54;3;533;
55;3;841;
56;3;1234;
57;3;715;
58;3;510;
59;3;748;
60;3;299;
61;3;33;
62;3;1176;
63;3;332;
64;3;298;
65;3;86;
66;3;34;
67;3;1437;
68;3;1252;
69;3;133;
70;3;419;
71;3;1290;
72;3;880;
73;3;715;
74;3;344;
75;3;330;
76;3;1497;
77;3;1073;
78;3;367;
79;3;555;
80;3;116;
81;3;615;
82;3;68;
83;3;431;
84;3;724;
85;3;1333;
86;3;462;
87;3;1372;
88;3;412;
89;3;761;
90;3;423;
91;3;918;
92;3;610;
93;3;796;
94;3;1026;
95;3;524;
96;3;1100;
97;3;581;
98;3;404;
99;3;30;
0;4;41;
1;4;453;
2;4;369;
3;4;1015;
4;4;1149;
5;4;754;
6;4;1003;
7;4;843;
8;4;1445;
9;4;446;
10;4;1194;
11;4;1119;
12;4;806;
13;4;355;
14;4;987;
15;4;491;
16;4;1494;
17;4;1435;
18;4;363;
19;4;965;
20;4;838;
21;4;1087;
22;4;932;
23;4;153;
24;4;295;
25;4;393;
26;4;878;
27;4;744;
28;4;205;
29;4;403;
30;4;928;
31;4;752;
32;4;1278;
33;4;1023;
34;4;350;
35;4;399;
36;4;150;
37;4;782;
38;4;533;
39;4;856;
40;4;184;
41;4;1312;
42;4;1318;
43;4;295;
44;4;1154;
45;4;161;
46;4;131;
47;4;206;
48;4;1219;
49;4;832;
50;4;30;
51;4;626;
52;4;1149;
53;4;1252;
54;4;533;
55;4;831;
56;4;1234;
57;4;715;
58;4;500;
59;4;738;
60;4;290;
61;4;33;
62;4;1176;
63;4;323;
64;4;298;
65;4;86;
66;4;34;
67;4;1437;
68;4;1252;
69;4;133;
70;4;429;
71;4;1290;
72;4;880;
73;4;715;
74;4;344;
75;4;330;
76;4;1497;
77;4;1073;
78;4;367;
79;4;555;
80;4;116;
81;4;615;
82;4;68;
83;4;421;
84;4;724;
85;4;1333;
86;4;452;
87;4;1372;
88;4;402;
89;4;751;
90;4;413;
91;4;918;
92;4;610;
93;4;786;
94;4;1026;
95;4;524;
96;4;1100;
97;4;581;
98;4;404;
99;4;30;
0;5;41;
1;5;461;
2;5;377;
3;5;1026;
4;5;1149;
5;5;764;
6;5;1014;
7;5;853;
8;5;1445;
9;5;454;
10;5;1194;
11;5;1119;
12;5;816;
13;5;363;
14;5;998;
15;5;501;
16;5;1494;
17;5;1435;
18;5;371;
19;5;976;
20;5;848;
21;5;1076;
22;5;943;
23;5;153;
24;5;287;
25;5;403;
26;5;868;
27;5;754;
28;5;205;
29;5;413;
30;5;918;
31;5;752;
32;5;1278;
33;5;1012;
34;5;342;
35;5;409;
36;5;150;
37;5;782;
38;5;533;
39;5;846;
40;5;184;
41;5;1312;
42;5;1318;
43;5;287;
44;5;1154;
45;5;161;
46;5;131;
47;5;206;
48;5;1219;
49;5;822;
50;5;30;
51;5;626;
52;5;1149;
53;5;1252;
54;5;533;
55;5;821;
56;5;1234;
57;5;715;
58;5;490;
59;5;738;
60;5;282;
61;5;33;
62;5;1176;
63;5;315;
64;5;298;
65;5;86;
66;5;34;
67;5;1437;
68;5;1252;
69;5;133;
70;5;439;
71;5;1290;
72;5;880;
73;5;715;
74;5;344;
75;5;330;
76;5;1497;
77;5;1062;
78;5;367;
79;5;555;
80;5;116;
81;5;615;
