ID player;Match;Elo;
0;0;41;
1;0;455;
2;0;330;
3;0;983;
4;0;1157;
5;0;714;
6;0;971;
7;0;839;
8;0;1445;
9;0;448;
10;0;1202;
11;0;1127;
12;0;766;
13;0;316;
14;0;955;
15;0;491;
16;0;1494;
17;0;1435;
18;0;324;
19;0;933;
20;0;870;
21;0;1095;
22;0;900;
23;0;153;
24;0;292;
25;0;374;
26;0;910;
27;0;704;
28;0;205;
29;0;382;
30;0;944;
31;0;712;
32;0;1262;
33;0;1031;
34;0;368;
35;0;399;
36;0;150;
37;0;782;
38;0;524;
39;0;888;
0;1;41;
1;1;441;
2;1;330;
3;1;971;
4;1;1145;
5;1;700;
6;1;959;
7;1;825;
8;1;1445;
9;1;434;
10;1;1190;
11;1;1115;
12;1;752;
13;1;316;
14;1;967;
15;1;505;
16;1;1494;
17;1;1435;
18;1;324;
19;1;945;
20;1;882;
21;1;1095;
22;1;912;
23;1;153;
24;1;306;
25;1;388;
26;1;922;
27;1;704;
28;1;219;
29;1;396;
30;1;944;
31;1;712;
32;1;1262;
33;1;1031;
34;1;368;
35;1;399;
36;1;150;
37;1;782;
38;1;524;
39;1;888;
0;2;32;
1;2;432;
2;2;321;
3;2;959;
4;2;1133;
5;2;712;
6;2;947;
7;2;813;
8;2;1445;
9;2;425;
10;2;1178;
11;2;1115;
12;2;764;
13;2;307;
14;2;979;
15;2;514;
16;2;1494;
17;2;1435;
18;2;333;
19;2;957;
20;2;894;
21;2;1095;
22;2;912;
23;2;162;
24;2;315;
25;2;397;
26;2;922;
27;2;704;
28;2;219;
29;2;396;
30;2;944;
31;2;712;
32;2;1262;
33;2;1031;
34;2;368;
35;2;399;
36;2;150;
37;2;782;
38;2;524;
39;2;888;
0;3;23;
1;3;423;
2;3;312;
3;3;947;
4;3;1121;
5;3;724;
6;3;935;
7;3;801;
8;3;1445;
9;3;416;
10;3;1166;
11;3;1115;
12;3;776;
13;3;298;
14;3;991;
15;3;523;
16;3;1494;
17;3;1435;
18;3;342;
19;3;969;
20;3;906;
21;3;1095;
22;3;912;
23;3;171;
24;3;324;
25;3;406;
26;3;922;
27;3;704;
28;3;219;
29;3;396;
30;3;944;
31;3;712;
32;3;1262;
33;3;1031;
34;3;368;
35;3;399;
36;3;150;
37;3;782;
38;3;524;
39;3;888;
0;4;14;
1;4;414;
2;4;303;
3;4;938;
4;4;1112;
5;4;715;
6;4;926;
7;4;792;
8;4;1445;
9;4;407;
10;4;1166;
11;4;1115;
12;4;785;
13;4;289;
14;4;1000;
15;4;532;
16;4;1494;
17;4;1435;
18;4;351;
19;4;978;
20;4;915;
21;4;1104;
22;4;912;
23;4;180;
24;4;333;
25;4;415;
26;4;922;
27;4;704;
28;4;219;
29;4;396;
30;4;944;
31;4;712;
32;4;1262;
33;4;1031;
34;4;368;
35;4;399;
36;4;150;
37;4;782;
38;4;524;
39;4;888;
0;5;6;
1;5;406;
2;5;295;
3;5;929;
4;5;1103;
5;5;706;
6;5;917;
7;5;783;
8;5;1445;
9;5;399;
10;5;1166;
11;5;1115;
12;5;794;
13;5;281;
14;5;1009;
15;5;540;
16;5;1494;
17;5;1435;
18;5;359;
19;5;987;
20;5;924;
21;5;1113;
22;5;912;
23;5;188;
24;5;341;
25;5;423;
26;5;922;
27;5;704;
28;5;219;
29;5;396;
30;5;944;
31;5;712;
32;5;1262;
33;5;1031;
34;5;368;
35;5;399;
36;5;150;
37;5;782;
38;5;524;
39;5;888;
